OBJECTID,SYSTEM,MONTHDAY_INSTALLED,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,Shape__Area,Shape__Length
25,GSWI,9_27,2018,ACT,PWD,2,,c46b3ffd-6d71-48f2-87e7-227f0b8673ac,,47.65625,40.4768014888302
26,GSWI,9_27,2018,ACT,PWD,2,,613d32be-d8e9-450e-90fc-4fdc3e344bc8,,47.66796875,40.4870385292776
27,GSWI,9_27,2018,ACT,PWD,2,,c9ed107b-09f0-4ec6-b49d-523c4acc0efe,,47.7421875,40.5364725186488
28,GSWI,4_3,2019,ACT,PWD,2,,080a9179-5c36-4b01-b548-f448b2984b02,,56.16015625,27.8391134901711
29,GSWI,4_3,2019,ACT,PWD,2,,1d6987e1-249d-43cf-a96c-2867ffc96c2e,,119.390625,52.4669209769787
30,GSWI,,,PRP,PWD,2,,5ca6e6ec-7b46-44c8-8f98-490394158b7a,,63.3125,44.3291328287274
31,GSWI,,,PRP,PWD,2,,be7b33b0-8132-4df7-a8f3-83d1fa4b1373,,58.640625,43.8336647704759
32,GSWI,6_11,2020,ACT,PWD,2,,3b30ebf8-e7bc-44e0-b75b-05b4e39cec48,,99.82421875,46.8301791031682
33,GSWI,6_11,2020,ACT,PWD,2,,cad5060f-b641-4b4f-b509-f55423857311,,184.90234375,74.4421017183518
34,GSWI,6_11,2020,ACT,PWD,2,,4689a010-6f32-4de6-95e1-50ed8708c281,,182.16796875,74.3252910218099
35,GSWI,6_11,2020,ACT,PWD,2,,70b34db6-2dba-4650-a05a-35be26604e83,,176.98046875,77.7523754274291
36,GSWI,2_16,2021,ACT,PWD,2,,e6d8f1b8-70c0-4e25-9516-8853f57a08bd,,44.35546875,42.84089520627
37,GSWI,11_19,2019,ACT,PWD,2,,c76da92f-0a55-48c9-adf9-77cacebc063b,,72.62109375,55.885232189807
38,GSWI,11_19,2019,ACT,PWD,2,,418df9f7-0efd-4c62-ad64-e7c5e7f5907b,,57.16796875,39.8104360201466
39,GSWI,11_19,2019,ACT,PWD,2,,fca8fad3-1b05-415d-8c1b-0bd2660010ce,,53.19140625,41.9906627093665
40,GSWI,11_19,2019,ACT,PWD,2,,e9db4d4e-a407-41dc-bd74-6d8c8d72317b,,39.7265625,35.2423148504133
41,GSWI,11_19,2019,ACT,PWD,2,,a823255f-a53d-4c4d-aaf9-ec3e5e5e1a2a,,34.4375,28.7859199663445
42,GSWI,11_19,2019,ACT,PWD,2,,fc3b46cc-5b10-4f43-873e-7a6c33567d1f,,46.70703125,36.300291140567
43,GSWI,11_19,2019,ACT,PWD,2,,ac897346-6be7-4178-8a11-c05f737b997d,,34.79296875,33.1167450520051
